Title,Type,language,Date,Link
"ع / عام / رضا المستفيدين بالشرقية يبدأ قياس أثر توصياته السابقة للخدمات المقدمة في ""المنافذ الحدودية"" بالمنطقة",عام,عربى,12/7/2024 17:24,https://spa.gov.sa/w2220742
ع / عام / دوريات الأمن بمنطقة الرياض تقبض على شخصين لترويجهما مادة الحشيش المخدر وأقراصًا خاضعة لتنظيم التداول الطبي ,عام,عربى,12/7/2024 17:25,https://spa.gov.sa/w2220743
ع / اقتصادي / بورصة موسكو تقفل على ارتفاع,اقتصادي,عربى,12/7/2024 17:25,https://spa.gov.sa/w2220744
ع / ثقافي / مهرجان البحر الأحمر السينمائي يحتفي بالمرأة في السينما في نسختها السابعة ,ثقافي,عربى,12/7/2024 17:31,https://spa.gov.sa/w2220746
ع / ثقافي /  معرض المخطوطات السعودي رحلة معرفية توثق الإرث الثقافي والعلمي في المملكة ,ثقافي,عربى,12/7/2024 17:31,https://spa.gov.sa/w2220747
ع / صحي / تجمع الرياض الصحي الثاني يطلق 200 مبادرة تطوعية احتفاءً باليوم العالمي للتطوع,الصحة,عربى,12/7/2024 17:33,https://spa.gov.sa/w2220748
ع / عام / مهرجان الملك عبدالعزيز للصقور 2024 يخصص أجنحة لبيع المنتجات المحلية للأسر المنتجة,عام,عربى,12/7/2024 18:17,https://spa.gov.sa/w2220770
ع / بيئي / خلال مؤتمر الأطراف COP16 .. مركز مائي ينظم ورشة عمل حول كفاءة وترشيد استهلاك المياه,البيئة,عربى,12/7/2024 18:17,https://spa.gov.sa/w2220771
ع / بيئي / منتدى تقنيات التشجير يسلط الضوء على استدامة المياه وحلول التصحر لتعزيز الأمن البيئي,البيئة,عربى,12/7/2024 18:18,https://spa.gov.sa/w2220772
ع / عام / السفير الصربي يزور مهرجان الملك عبدالعزيز للصقور 2024 ويُشيد بالجهود المبذولة في الحفاظ على الموروث,عام,عربى,12/7/2024 18:19,https://spa.gov.sa/w2220773
ع / سياسي / الاحتلال الإسرائيلي يقتحم مركزًا صحيًّا بمدينة رام الله,سياسي,عربى,12/7/2024 18:21,https://spa.gov.sa/w2220776
‫ع / رياضي / ميدان فروسية الجبيل يقيم سباقًا على كأس فارس التعليم,رياضي,عربى,12/7/2024 18:22,https://spa.gov.sa/w2220777
ع / سياسي / سمو وزير الخارجية يلتقي وزير خارجية النرويج,سياسي,عربى,12/7/2024 18:26,https://spa.gov.sa/w2220781
ع / سياحة وترفيه / موسم شتاء جازان يجذب أكثر من 350 ألف زائر خلال شهر ,سياحة و ترفية,عربى,12/7/2024 18:27,https://spa.gov.sa/w2220782
ع / اجتماعي / أمير منطقة الرياض يؤدي صلاة الميت على صاحبة السمو الأميرة نجلاء بنت سعد بن محمد بن سعود آل عبدالرحمن آل سعود,إجتماعي,عربى,12/7/2024 18:28,https://spa.gov.sa/w2220783
ع / سياسي / سمو وزير الخارجية يلتقي وزير خارجية قبرص,سياسي,عربى,12/7/2024 18:30,https://spa.gov.sa/w2220785
ع / صحي/ المنظمة العربية للتنمية الإدارية تعقد المؤتمر العربي حول الأساليب الحديثة في إدارة المستشفيات,الصحة,عربى,12/7/2024 18:37,https://spa.gov.sa/w2220792
ع / اقتصادي / جدة تستضيف فعاليات المعرض التجاري الدولي بمركز جدة للمعارض والفعاليات ,اقتصادي,عربى,12/7/2024 18:38,https://spa.gov.sa/w2220793
ع / بيئي / منتدى التشجير الدولي يناقش سبل مكافحة تدهور الأراضي وتأثيراته الاقتصادية والبيئية,البيئة,عربى,12/7/2024 18:46,https://spa.gov.sa/w2220796
ع / بيئي / تدشين مبادرة البرنامج البيئي بمحافظة أبوعريش,البيئة,عربى,12/7/2024 18:46,https://spa.gov.sa/w2220797
ع / اجتماعي / جامعة طيبة وجمعية تكافل بالمدينة المنورة توقعان اتفاقية تعاون,إجتماعي,عربى,12/7/2024 18:47,https://spa.gov.sa/w2220798
"ع / بيئي / مجموعة""روشن"" شريك الاستدامة لمؤتمر ""كوب 16"" تستعرض دور التطوير العقاري في دعم التنوع البيولوجي والبيئي ",البيئة,عربى,12/7/2024 19:03,https://spa.gov.sa/w2220801
ع / عام / السفيرة الفنلندية لدى المملكة تزور مهرجان الملك عبدالعزيز للصقور 2024 وتطّلع على مجريات سباق الملواح,عام,عربى,12/7/2024 19:04,https://spa.gov.sa/w2220803
"ع / بيئي / أجندة عمل الرياض تكتسب المزيد من الزخم لاستحواذ حوكمة الأراضي على مركز الصدارة في ""كوب 16"" الرياض",البيئة,عربى,12/7/2024 19:05,https://spa.gov.sa/w2220804
"ع / ثقافي / اختتام فعاليات مهرجان ""الوليمة"" في نسخته الثالثة بجدة",ثقافي,عربى,12/7/2024 19:05,https://spa.gov.sa/w2220805
ع / عام / إقبال كبير من المُلاك المحليين في اليوم الخامس لمهرجان الملك عبدالعزيز للصقور 2024,عام,عربى,12/7/2024 19:06,https://spa.gov.sa/w2220806
"ع / رياضي / الوحدة يتجاوز السلام ضمن منافسات دوري ""الشباب"" لكرة السلة ",رياضي,عربى,12/7/2024 19:13,https://spa.gov.sa/w2220813
"ع / عام / مساعد وزير الدفاع للشؤون التنفيذية يرأس وفد الوزارة في ""حوار المنامة""",عام,عربى,12/7/2024 19:16,https://spa.gov.sa/w2220815
ع / سياسي / سمو وزير الخارجية يلتقي المبعوث الأمريكي إلى لبنان,سياسي,عربى,12/7/2024 19:27,https://spa.gov.sa/w2220819
ع / عام / الأمن الباكستاني يقضي على 22 إرهابيًّا في عمليات أمنية,عام,عربى,12/7/2024 19:32,https://spa.gov.sa/w2220823
ع / بيئي / 5 جلسات على طاولة نقاشات المنتدى الدولي لتقنيات التشجير في يومه الثاني ,البيئة,عربى,12/7/2024 19:33,https://spa.gov.sa/w2220824
ع / سياحة وترفيه / موسم الرياض 2024 يستقطب 10 ملايين زائر إلى فعالياته ومناطقه المتنوعة,سياحة و ترفية,عربى,12/7/2024 19:37,https://spa.gov.sa/w2220827
ع / اقتصادي / بورصة تونس تقفل على انخفاض طفيف,اقتصادي,عربى,12/7/2024 19:40,https://spa.gov.sa/w2220829
